Year,Scenario,Africa,Asia-Pacific Developed,Eastern Asia,Europe,Eurasia,Latin America and Caribbean,Middle East,North America,Southern Asia,South-East Asia and Developing Pacific,Global
2059,ssp126,-3.959387684,-5.031116629,-8.774075508,-9.980409145,-7.631525993,-5.326255846,-10.26523056,-10.65117617,-5.881649685,-6.1220016,-6.627620578
2060,ssp126,-4.072895432,-4.763564491,-9.35731411,-10.26741409,-7.755518436,-5.511595774,-10.04833641,-10.81884594,-5.95263834,-5.496358824,-6.672817339
2061,ssp126,-4.239578152,-4.955670261,-9.263313293,-10.3955574,-7.663394451,-5.644989538,-10.94753399,-10.60784311,-6.634384823,-5.599655581,-6.710385145
2062,ssp126,-4.108622456,-5.119974756,-9.502119064,-10.60578012,-7.884968758,-5.738292027,-10.38258209,-10.98622389,-6.406327915,-6.159547281,-6.840360371
2063,ssp126,-4.322078609,-5.018655205,-9.542142868,-10.70696688,-8.084781647,-5.615433264,-10.80672398,-10.98574276,-6.762233448,-6.354579878,-6.890366764
2064,ssp126,-4.480872536,-5.037883425,-9.939844131,-10.75034046,-8.212441921,-5.708807278,-11.35805931,-11.15134878,-7.25756712,-5.815777731,-6.927265467
2065,ssp126,-4.796384239,-5.013340855,-10.09880209,-10.877635,-8.344143867,-6.110076237,-11.53863611,-11.28622169,-7.691334438,-6.019252729,-7.111474492
2066,ssp126,-4.522451305,-5.265590572,-10.14447403,-10.9108386,-8.547865868,-6.283288288,-11.48558178,-11.62619228,-7.26944418,-6.284387541,-7.201106114
2067,ssp126,-4.707853222,-5.238065386,-10.38618517,-10.87261581,-8.320572853,-6.186198759,-11.69065609,-11.24161835,-7.678291988,-6.464655828,-7.232847081
2068,ssp126,-4.554980659,-5.3864254,-10.27135181,-10.99431896,-8.174856186,-6.111441422,-11.97732391,-11.14882774,-7.593106937,-6.862029982,-7.31835886
2069,ssp126,-4.688561344,-5.014619255,-10.40003633,-11.00706816,-8.442071915,-6.163719463,-11.69380035,-11.25739021,-7.594211292,-6.704317522,-7.191825554
2070,ssp126,-4.808853054,-5.13126936,-10.59890985,-11.1588459,-8.515130043,-6.247114706,-12.1592988,-11.31278152,-8.099009228,-6.756760073,-7.269763816
2071,ssp126,-5.033078575,-5.191780949,-10.94238997,-11.25178099,-8.643294811,-6.367612171,-12.31100311,-11.44761343,-8.303705883,-7.109858942,-7.342558487
2072,ssp126,-4.887108707,-5.387505198,-10.74547291,-11.29173517,-8.548033237,-6.427333879,-12.15322533,-11.32580395,-8.481297207,-7.523700666,-7.401163725
2073,ssp126,-5.155050659,-5.763837242,-10.99664879,-11.53879356,-8.743391037,-6.294457245,-12.81207743,-11.5779006,-9.210942936,-7.913798285,-7.650326707
2074,ssp126,-5.175063515,-5.709218645,-11.35681725,-11.75687075,-9.211239338,-6.446763325,-12.59334221,-11.87105675,-9.328639698,-7.916842413,-7.745406894
2075,ssp126,-5.412310028,-5.650221729,-11.35800409,-11.5490551,-9.263639927,-6.73117094,-13.14614096,-11.86964388,-9.265723896,-7.826075029,-7.726703745
2076,ssp126,-5.530366802,-5.883705759,-11.66995859,-11.53491116,-8.951528549,-6.713008928,-13.31840315,-11.70676632,-9.895805073,-8.350610685,-7.914922792
2077,ssp126,-5.647784138,-5.54675498,-11.69717216,-11.77710247,-9.142680645,-6.91703229,-13.4785923,-11.91415949,-10.102637,-8.002823305,-7.924548614
2078,ssp126,-5.934417152,-5.794191027,-11.87797022,-11.95301962,-9.441537857,-6.876050758,-13.70502319,-12.00606747,-10.63234682,-8.523284388,-8.100813297
2079,ssp126,-6.018053913,-5.737127924,-11.91112566,-11.96740103,-9.268947124,-6.963657665,-14.0265564,-11.86663218,-11.0414073,-8.306923819,-8.044099285
2080,ssp126,-6.13785305,-5.914497757,-12.11454296,-12.22029591,-9.352532387,-6.853874016,-14.3105916,-12.07266874,-10.62802572,-8.847579908,-8.141587724
2081,ssp126,-6.217180157,-5.858519459,-12.18118,-12.03975391,-9.280308723,-6.855067778,-14.41715088,-11.82573338,-11.29778357,-8.967339468,-8.128645368
2082,ssp126,-6.361591244,-5.887785101,-12.40708542,-12.14295435,-9.326777935,-7.212431002,-14.96663036,-11.92575092,-11.90652056,-8.46861167,-8.170714024
2083,ssp126,-6.578583145,-6.097282076,-12.59767294,-12.32219028,-9.604895115,-7.016755867,-14.75356998,-12.00807161,-11.80078001,-9.313466501,-8.339558171
2084,ssp126,-6.533324146,-6.207077169,-12.61081934,-12.36348963,-9.684864044,-6.77772336,-14.94773235,-12.04723568,-12.32446356,-9.506246996,-8.349255195
2085,ssp126,-6.865192795,-6.070284748,-12.67053413,-12.35960054,-9.585085869,-7.23636179,-15.39078226,-12.30335636,-12.53023024,-8.863738966,-8.473348621
2086,ssp126,-7.003300571,-6.007638359,-12.82106781,-12.47894478,-9.56533289,-7.27898531,-15.37465611,-12.06036777,-12.88616438,-9.239996862,-8.50798396
2087,ssp126,-6.704388046,-6.048515224,-12.61040211,-12.59910679,-9.724497795,-6.972905445,-15.25071993,-12.28551216,-13.40071459,-9.581565809,-8.522828501
